alpha,qw,q2,mmse,sols,qw_,q2_,mmse_
2.7000460000000004,0.32347351868360874,0.853077533599988,0.14692246640001208,"[0.0, 0.32347351868360874, 0.8899170945445474, 0.9917637622939174]",0.9917637622939174,0.9849915271894795,0.015008472810520538
2.7250455000000002,0.32443340977585977,0.8542634671059477,0.14573653289405233,"[0.0, 0.32443340977585977, 0.887390936583505, 0.9922705257321853]",0.9922705257321853,0.9858494769699725,0.01415052303002751
2.7500450000000005,0.3253809500576362,0.8554299417873951,0.14457005821260496,"[0.0, 0.3253809500576362, 0.884938792590529, 0.9927378485246227]",0.9927378485246227,0.9866472270586139,0.013352772941386152
2.7750445000000004,0.32631612449100655,0.8565774323519445,0.14342256764805553,"[0.0, 0.32631612449100655, 0.8825540088868083, 0.9931687417934341]",0.9931687417934341,0.9873884714108724,0.012611528589127622
2.800044,0.3272382196886678,0.8577063851125744,0.14229361488742567,"[0.0, 0.3272382196886678, 0.8802326413717314, 0.9935669277763047]",0.9935669277763047,0.9880783461038297,0.011921653896170285
2.8250435000000005,0.328147477697264,0.8588172500650487,0.1411827499349513,"[0.0, 0.328147477697264, 0.8779715140509647, 0.9939389040109278]",0.9939389040109278,0.9887270983315143,0.011272901668485715
2.8500430000000003,0.32904420612882707,0.8599104640973049,0.14008953590269516,"[0.0, 0.32904420612882707, 0.8757668270913188, 0.9942856474229528]",0.9942856474229528,0.9893357097220613,0.010664290277938695
2.8750425,0.32992870226604626,0.860986450077225,0.13901354992277506,"[0.0, 0.32992870226604626, 0.8736154499513881, 0.9946082572929246]",0.9946082572929246,0.9899054073589708,0.01009459264102919
2.9000420000000005,0.3308012533287055,0.8620456172408567,0.13795438275914332,"[0.0, 0.3308012533287055, 0.871514888652004, 0.9949074511234504]",0.9949074511234504,0.9904367933318259,0.00956320666817412
2.9250415000000003,0.3316621370083259,0.8630883618498606,0.13691163815013943,"[0.0, 0.3316621370083259, 0.8694621357981005, 0.9951905913825069]",0.9951905913825069,0.9909423306648891,0.009057669335110876
