alpha,mmse,qw,q2
2.9,0.009147464856173989,0.9952035555555555,0.9908414577777777
3.2,0.007083214007022695,0.9962293333333334,0.9927855644444447
2.3,0.03682155523355158,0.9772231111111112,0.9625532681481482
3.4,0.0043089943697027676,0.9977813333333333,0.9956472888888891
3.6,0.002169637746876409,0.9988995555555554,0.9978089481481481
2.5,0.027318841657863354,0.9846275555555557,0.9729392592592593
2.1,0.08030106140176929,0.939344,0.91822912
3.8,0.002209622388148017,0.9988782222222222,0.9977824474074072
2.7,0.01803353060914805,0.9899644444444445,0.981691188148148
4.0,0.0011670062852985519,0.9993991111111109,0.9988303644444443
3.2,0.003993416614346953,0.9979608888888888,0.9959833837037038
2.9,0.007067739115419135,0.9962168888888888,0.9928135111111109
3.4,0.005161219314622103,0.9973457777777776,0.9948054044444444
2.3,0.03629847727173457,0.9792853333333332,0.9644788148148149
3.6,0.0016448842535885632,0.9991555555555555,0.9983559822222222
2.5,0.03018131803510216,0.9819537777777779,0.969634062222222
3.8,0.00116284045619693,0.9994151111111111,0.9988403911111109
4.0,0.0011487748231528336,0.9994275555555554,0.9988570074074075
2.7,0.014795678359008042,0.9916871111111112,0.9851522844444446
3.2,0.008704033464582806,0.9953208888888889,0.9912386844444445
2.9,0.010832528599550638,0.9942844444444445,0.9893650251851851
2.1,0.09002647560552593,0.9296320000000001,0.9103168474074073
3.4,0.002924395732272892,0.9985013333333336,0.99707072
3.6,0.0012928074867627592,0.9993422222222225,0.9987214696296297
2.3,0.03879874754264481,0.9769137777777779,0.9615387496296297
3.8,0.0021852615049138906,0.9988408888888888,0.9978276029629629
2.5,0.02745282433719622,0.9838328888888889,0.972347591111111
4.0,0.0013181306334434444,0.9993173333333332,0.9986780918518519
2.7,0.01603002193692958,0.9910595555555556,0.9839560296296297
3.2,0.005919360889341938,0.9969333333333334,0.9940018014814815
3.4,0.0024490238699672604,0.9987555555555558,0.9975545837037038
2.9,0.010374416531854303,0.9943697777777777,0.989516065185185
3.6,0.0021074381573561087,0.998942222222222,0.9979117274074073
2.3,0.03707501411147409,0.9765920000000001,0.9625447585185185
3.8,0.0032420688543988805,0.9983360000000002,0.9967491792592592
2.5,0.025024701015775176,0.9854968888888888,0.9747774577777776
2.1,0.13083646490421494,0.8759324444444442,0.8697338785185186
4.0,0.00035625872328005556,0.9998204444444444,0.9996441837037036
3.2,0.005590524718375758,0.9970488888888887,0.9944216177777777
2.7,0.016400231208747812,0.9910577777777776,0.9835211377777776
3.4,0.0033199789475019227,0.9982133333333333,0.996613522962963
2.9,0.010160569756008484,0.994512,0.9898837096296299
3.6,0.0022435067528840742,0.9988746666666667,0.9977912651851852
3.8,0.0034010861482356956,0.9982755555555556,0.996594488888889
2.3,0.039048101535412334,0.9770986666666666,0.9611099022222221
4.0,0.0015740771196618567,0.9992159999999999,0.9984374281481482
2.5,0.018125153348535563,0.9898844444444442,0.9819229866666666
3.2,0.005856061570977496,0.9967146666666664,0.9942311822222222
2.7,0.016093893584940462,0.9911768888888888,0.9838535348148147
3.4,0.005171888155499729,0.9973564444444442,0.9948651851851852
3.6,0.0023967153505596176,0.9987893333333336,0.9976187022222223
2.1,0.0637028502071313,0.9571804444444443,0.9365069748148146
2.9,0.009603245462897876,0.9947946666666665,0.990350554074074
3.8,0.0015199681742211766,0.9992213333333331,0.998516622222222
2.3,0.03554780593361988,0.9788586666666668,0.964186642962963
4.0,0.0021839621065913735,0.9988835555555556,0.9978128118518519
3.2,0.00775256171467818,0.9959111111111112,0.9922670933333333
2.5,0.023969397775954464,0.9861742222222221,0.9762509037037038
3.4,0.004288733298736829,0.9976711111111112,0.9957733925925925
2.7,0.016146385549435285,0.9910417777777779,0.9837445925925925
3.6,0.0030466476975315178,0.9983733333333334,0.9969398755555555
3.8,0.0016115879644074764,0.9991804444444442,0.9983894992592595
2.9,0.008786547271137757,0.9952124444444445,0.9912092207407407
4.0,0.0008594922178328651,0.9995608888888887,0.999140954074074
2.3,0.04375362022399778,0.9733102222222223,0.955962334814815
3.2,0.006358341104235083,0.9966435555555556,0.9935460503703705
2.1,0.046704960190321436,0.9714524444444446,0.9531456474074075
2.5,0.016451891592042196,0.9909031111111111,0.9835477570370372
3.4,0.002573507105890753,0.9986986666666668,0.9974854637037035
3.6,0.0011438101855546696,0.9994222222222221,0.9988639051851851
2.7,0.015517614617985485,0.9916444444444444,0.9846731377777779
3.8,0.001394425835148694,0.9992995555555553,0.9986169362962964
2.9,0.008926242853020872,0.9952675555555556,0.9910957511111111
4.0,0.0025640991228911055,0.9987039999999997,0.9974395022222222
2.3,0.03729129088338345,0.9777173333333333,0.9629552355555556
3.2,0.004986194024392251,0.9973688888888891,0.9949841066666666
3.4,0.00280344442658373,0.9985617777777778,0.9972035081481484
2.5,0.018644578309551515,0.9898168888888889,0.9813942044444444
3.6,0.0036362263015708228,0.9979626666666667,0.9963017007407408
2.7,0.010843430455150722,0.9941191111111111,0.9892404622222222
3.8,0.002299979073046754,0.9986808888888891,0.9977639822222222
2.1,0.07175134048806706,0.9508444444444444,0.9292621274074072
4.0,0.0014547729186667412,0.9992782222222221,0.9985603318518518
2.9,0.010372365524573957,0.994519111111111,0.9897000533333333
3.2,0.007596840682102765,0.996133333333333,0.99242304
2.3,0.03810744735174215,0.976952888888889,0.9617079466666668
3.4,0.0031729493625829047,0.9983822222222224,0.9968713007407409
2.5,0.02091359513037366,0.9882097777777777,0.9791467140740744
3.6,0.0021843952952076313,0.9988977777777777,0.9978269866666668
3.8,0.0028916220655199596,0.9984248888888891,0.9970554785185183
2.7,0.016348816679023787,0.9909262222222222,0.9837494992592594
4.0,0.0013230191859733994,0.9993386666666666,0.9986936888888888
2.9,0.007640122118973061,0.9960035555555556,0.9922834014814815
2.3,0.04288427086858716,0.9735182222222224,0.9578377007407407
2.1,0.08744314570424924,0.9350328888888888,0.9135743525925926
2.5,0.018677546383583068,0.9896195555555558,0.9815080533333332
2.7,0.016543355191474193,0.9905866666666668,0.983273362962963
2.9,0.006784302518844543,0.9964995555555555,0.993288888888889
2.3,0.04008268975118928,0.9755893333333334,0.959694151111111
2.5,0.021576999448915904,0.9876355555555554,0.9784486162962962
2.7,0.01300133230666947,0.992808888888889,0.9867778607407408
2.1,0.08031081464960374,0.9429422222222221,0.9198739200000001
2.9,0.00902369793758314,0.9950382222222222,0.9910436740740741
2.3,0.03643758169928485,0.9776533333333335,0.9635485866666665
2.5,0.014949162218111626,0.9920320000000001,0.9850815525925927
2.7,0.011993299197834255,0.9932746666666668,0.9879719111111109
2.9,0.010805585566179521,0.9940764444444445,0.9891596325925925
